id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
301,145,75,"mullane, richard m.","mullane, richard m.",male,1945,u.s.,military,nasa-8,1978,3,3,msp,1990,sts-36,sts-36,sts-36,sts-36,106,356,0,0,0
302,146,76,"hawley, steven a.","hawley, steven a.",male,1951,u.s.,civilian,nasa astronaut group 8,1978,1,5,msp,1984,sts-41-d,sts-41-d,sts-41-d,sts-41-d,144,768,0,0,0
303,146,76,"hawley, steven a.","hawley, steven a.",male,1951,u.s.,civilian,nasa astronaut group 8,1978,2,5,msp,1986,sts-61-c,sts-61-c,sts-61-c,sts-61-c,146,768,0,0,0
304,146,76,"hawley, steven a.","hawley, steven a.",male,1951,u.s.,civilian,nasa astronaut group 8,1978,3,5,msp,1990,sts-31,sts-31,sts-31,sts-31,121,768,0,0,0
305,146,76,"hawley, steven a.","hawley, steven a.",male,1951,u.s.,civilian,nasa astronaut group 8,1978,4,5,msp,1997,sts-82,sts-82,sts-82,sts-82,239,768,0,0,0
306,146,76,"hawley, steven a.","hawley, steven a.",male,1951,u.s.,civilian,nasa astronaut group 8,1978,5,5,msp,1999,sts-93,sts-93,sts-93,sts-93,118,768,0,0,0
307,147,77,"resnik, judith a.","resnik, judith a.",female,1949,u.s.,civilian,nasa-8,1978,1,2,msp,1984,sts-41-d,sts-41-d,sts-41-d,sts-41-d,144,144,0,0,0
308,147,77,"resnik, judith a.","resnik, judith a.",female,1949,u.s.,civilian,nasa-9,1978,2,2,msp,1985,sts-51-l,sts-51-l,explosion,explosion,0,144,0,0,0
309,148,78,"walker, charles david","walker, charles david",male,1948,u.s.,civilian,ps,1983,1,3,psp,1984,sts-41d,sts-41d,sts-41d,sts-41d,144.98,478.29,0,0,0
310,148,78,"walker, charles david","walker, charles david",male,1948,u.s.,civilian,ps,1983,2,3,psp,1985,sts-51d,sts-51d,sts-51d,sts-51d,168.15,478.29,0,0,0
311,148,78,"walker, charles david","walker, charles david",male,1948,u.s.,civilian,ps,1983,3,3,psp,1985,sts-61b,sts-61b,sts-61b,sts-61b,165.16,478.29,0,0,0
312,149,79,"mcbride, jon a.","mcbride, jon a.",male,1943,u.s.,military,nasa- 8,1978,1,1,pilot,1984,sts-41-g,sts-41-g,sts-41-g,sts-41-g,197,197,0,0,0
313,150,80,"sullivan, kathryn d.","sullivan, kathryn d.",female,1951,u.s.,civilian,1978 nasa group,1978,1,3,msp,1984,sts-41-g,sts-41-g,sts-41-g,sts-41-g,197.5,532,1,3.45,3.45
314,150,80,"sullivan, kathryn d.","sullivan, kathryn d.",female,1951,u.s.,civilian,1978 nasa group,1978,2,3,msp,1990,sts-31,sts-31,sts-31,sts-31,121,532,0,0,3.45
315,150,80,"sullivan, kathryn d.","sullivan, kathryn d.",female,1951,u.s.,civilian,1978 nasa group,1978,3,3,msp,1992,sts-45,sts-45,sts-45,sts-45,213.5,532,0,0,3.45
316,151,81,"leestma, david c.","leestma, david c.",male,1949,u.s.,military,nasa- 9,1980,1,3,msp,1984,sts-41-g,sts-41-g,sts-41-g,sts-41-g,197,532,1,1,3.5
317,151,81,"leestma, david c.","leestma, david c.",male,1949,u.s.,military,nasa- 9,1980,2,3,msp,1989,sts-28,sts-28,sts-28,sts-28,121,532,0,0,3.5
318,151,81,"leestma, david c.","leestma, david c.",male,1949,u.s.,military,nasa- 9,1980,3,3,msp,1992,sts-45,sts-45,sts-45,sts-45,214,532,0,0,3.5
319,152,82,"scully-power, paul desmond","scully-power, paul desmond",male,1944,u.s.,civilian,ps,1984,1,1,psp,1984,sts-41-g,sts-41-g,sts-41-g,sts-41-g,197.67,197.67,0,0,0
320,153,1,"garneau, marc joseph jean-pierre","garneau, marc joseph jean-pierre",male,1949,canada,military,1983 nrc group,1983,1,3,psp,1984,sts-41-g,sts-41-g,sts-41-g,sts-41-g,197,697.67,0,0,0
321,153,1,"garneau, marc joseph jean-pierre","garneau, marc joseph jean-pierre",male,1949,canada,military,1983 nrc group,1983,2,3,msp,1996,sts-77,sts-77,sts-77,sts-77,240.67,697.67,0,0,0
322,153,1,"garneau, marc joseph jean-pierre","garneau, marc joseph jean-pierre",male,1949,canada,military,1983 nrc group,1983,3,3,msp,2000,sts-97,sts-97,sts-97,sts-97,260,697.67,0,0,0
323,154,83,"walker, david mathieson","walker, david mathieson",male,1944,u.s.,military,1978 nasa group 8,1978,1,4,pilot,1984,sts-51-a,sts-51-a,sts-51-a,sts-51-a,191,724.45,0,0,0
324,154,83,"walker, david mathieson","walker, david mathieson",male,1944,u.s.,military,1978 nasa group 8,1978,2,4,commander,1989,sts-30,sts-30,sts-30,sts-30,96,724.45,0,0,0
325,154,83,"walker, david mathieson","walker, david mathieson",male,1944,u.s.,military,1978 nasa group 8,1978,3,4,commander,1992,sts-53,sts-53,sts-53,sts-53,175,724.45,0,0,0
326,154,83,"walker, david mathieson","walker, david mathieson",male,1944,u.s.,military,1978 nasa group 8,1978,4,4,commander,1995,sts-69,sts-69,sts-69,sts-69,44,724.45,0,0,0
327,155,84,"fisher, anna l.","fisher, anna l.",female,1949,u.s.,civilian,nasa- 8,1978,1,1,msp,1984,sts-51-a,sts-51-a,sts-51-a,sts-51-a,191,191,0,0,0
328,156,85,"shriver, loren j.","shriver, loren j.",male,1944,u.s.,military,1978 nasa group,1978,1,3,pilot,1985,sts-51-c,sts-51-c,sts-51-c,sts-51-c,73.5,386,0,0,0
329,156,85,"shriver, loren j.","shriver, loren j.",male,1944,u.s.,military,1978 nasa group,1978,2,3,commander,1990,sts-31,sts-31,sts-31,sts-31,121,386,0,0,0
330,156,85,"shriver, loren j.","shriver, loren j.",male,1944,u.s.,military,1978 nasa group,1978,3,3,commander,1992,sts-46,sts-46,sts-46,sts-46,191,386,0,0,0
331,157,86,"onizuka, ellison s.","onizuka, ellison s.",male,1946,u.s.,military,nasa-8,1978,1,2,msp,1985,sts 51-c,sts 51-c,sts 51-c,sts 51-c,74,74,0,0,0
332,157,86,"onizuka, ellison s.","onizuka, ellison s.",male,1946,u.s.,military,nasa-8,1978,2,2,msp,1986,sts 51-l,sts 51-l,explosion,explosion,0,74,0,0,0
333,158,87,"buchli, james f.","buchli, james f.",male,1945,u.s.,military,nasa- 8,1978,1,4,msp,1985,sts-51-c,sts-51-c,sts-51-c,sts-51-c,73.5,490,0,0,0
334,158,87,"buchli, james f.","buchli, james f.",male,1945,u.s.,military,nasa- 8,1978,2,4,msp,1985,sts-61-a,sts-61-a,sts-61-a,sts-61-a,168,490,0,0,0
335,158,87,"buchli, james f.","buchli, james f.",male,1945,u.s.,military,nasa- 8,1978,3,4,msp,1989,sts-29,sts-29,sts-29,sts-29,120,490,0,0,0
336,158,87,"buchli, james f.","buchli, james f.",male,1945,u.s.,military,nasa- 8,1978,4,4,msp,1991,sts-48,sts-48,sts-48,sts-48,128.5,490,0,0,0
337,159,88,"payton, gary eugene","payton, gary eugene",male,1948,u.s.,military,1979 usaf group,1979,1,1,psp,1985,sts-51c,sts-51c,sts-51c,sts-51c,73.675,73.675,0,0,0
338,160,89,"williams, donald e.","williams, donald e.",male,1942,u.s.,military,1981 nasa group 8,1978,1,2,pilot,1985,sts-51-d,sts-51-d,sts-51-d,sts-51-d,167,286,0,0,0
339,160,89,"williams, donald e.","williams, donald e.",male,1942,u.s.,military,1981 nasa group 8,1978,2,2,commander,1989,sts-34,sts-34,sts-34,sts-34,119,286,0,0,0
340,161,90,"seddon, margaret rhea","seddon, margaret rhea",female,1947,u.s.,civilian,nasa-8,1978,1,3,msp,1985,sts-51-d,sts-51-d,sts-51-d,sts-51-d,168,722,0,0,0
341,161,90,"seddon, margaret rhea","seddon, margaret rhea",female,1947,u.s.,civilian,nasa-8,1978,2,3,msp,1991,sts-40,sts-40,sts-40,sts-40,218,722,0,0,0
342,161,90,"seddon, margaret rhea","seddon, margaret rhea",female,1947,u.s.,civilian,nasa-8,1978,3,3,msp,1993,sts-58,sts-58,sts-58,sts-58,336,722,0,0,0
343,162,91,"griggs, s. david","griggs, s. david",male,1947,u.s.,civilian,nasa astronaut group 8,1978,1,1,msp,1985,sts-51-d,sts-51-d,sts-51-d,sts-51-d,168,168,1,3.17,3.17
344,163,92,"hoffman, jeffrey a.","hoffman, jeffrey a.",male,1944,u.s.,civilian,nasa- 8,1978,1,5,msp,1985,sts-51-d,sts-51-d,sts-51-d,sts-51-d,167,1211.9,1,3.17,25.2
345,163,92,"hoffman, jeffrey a.","hoffman, jeffrey a.",male,1944,u.s.,civilian,nasa- 8,1978,2,5,msp,1990,sts-35,sts-35,sts-35,sts-35,215,1211.9,0,0,25.2
346,163,92,"hoffman, jeffrey a.","hoffman, jeffrey a.",male,1944,u.s.,civilian,nasa- 8,1978,3,5,msp,1992,sts-46,sts-46,sts-46,sts-46,191,1211.9,0,0,25.2
347,163,92,"hoffman, jeffrey a.","hoffman, jeffrey a.",male,1944,u.s.,civilian,nasa- 8,1978,4,5,msp,1993,sts-61,sts-61,sts-61,sts-61,259,1211.9,3,22.03,25.2
348,163,92,"hoffman, jeffrey a.","hoffman, jeffrey a.",male,1944,u.s.,civilian,nasa- 8,1978,5,5,msp,1996,sts-75,sts-75,sts-75,sts-75,377,1211.9,0,0,25.2
349,164,93,"garn, edwin jacob","garn, edwin jacob",male,1932,u.s.,military,ps,1985,1,1,psp,1985,sts-51d,sts-51d,sts-51d,sts-51d,168.15,168.15,0,0,0
350,165,94,"gregory, frederick d.","gregory, frederick d.",male,1941,u.s.,military,nasa astronaut group 8,1978,1,3,pilot,1985,sts-51-b,sts-51-b,sts-51-b,sts-51-b,168,455,0,0,0
351,165,94,"gregory, frederick d.","gregory, frederick d.",male,1941,u.s.,military,nasa astronaut group 8,1978,2,3,commander,1989,sts-33,sts-33,sts-33,sts-33,120,455,0,0,0
352,165,94,"gregory, frederick d.","gregory, frederick d.",male,1941,u.s.,military,nasa astronaut group 8,1978,3,3,commander,1991,sts-44,sts-44,sts-44,sts-44,166,455,0,0,0
353,166,95,"lind, don l.","lind, don l.",male,1930,u.s.,military,nasa- 5,1966,1,1,msp,1985,sts-51-b,sts-51-b,sts-51-b,sts-51-b,168,168,0,0,0
354,167,96,"lodewijk, van der berg","lodewijk, van der berg",male,1932,u.s.,civilian,ps,1983,1,1,psp,1985,spacelab-3,sts-51-b,sts-51-b,sts-51-b,168.525,168.525,0,0,0
355,168,97,"wang, taylor gun-jin",王赣骏,male,1940,u.s.,civilian,spacelab-3 mission payload specialist,1984,1,1,psp,1985,spacelab-3,sts-51b,sts-51b,sts-51b,168.525,168.525,0,0,0
356,169,98,"creighton, john o.","creighton, john o.",male,1943,u.s.,military,nasa- 8,1978,1,3,pilot,1985,sts-51-g,sts-51-g,sts-51-g,sts-51-g,170,404,0,0,0
357,169,98,"creighton, john o.","creighton, john o.",male,1943,u.s.,military,nasa- 8,1978,2,3,commander,1990,sts-36,sts-36,sts-36,sts-36,106,404,0,0,0
358,169,98,"creighton, john o.","creighton, john o.",male,1943,u.s.,military,nasa- 8,1978,3,3,commander,1991,sts-48,sts-48,sts-48,sts-48,128,404,0,0,0
359,170,99,"nagel, steven r.","nagel, steven r.",male,1946,u.s.,military,nasa-8,1978,1,4,msp,1985,sts-51g,sts-51g,sts-51g,sts-51g,170,522,0,0,0
360,170,99,"nagel, steven r.","nagel, steven r.",male,1946,u.s.,military,nasa-8,1978,2,4,pilot,1985,sts-61a,sts-61a,sts-61a,sts-61a,169,522,0,0,0
361,170,99,"nagel, steven r.","nagel, steven r.",male,1946,u.s.,military,nasa-8,1978,3,4,commander,1991,sts-37,sts-37,sts-37,sts-37,143,522,0,0,0
362,170,99,"nagel, steven r.","nagel, steven r.",male,1946,u.s.,military,nasa-8,1978,4,4,commander,1993,sts-55,sts-55,sts-55,sts-55,240,522,0,0,0
363,171,100,"lucid, shannon w.","lucid, shannon w.",female,1943,u.s.,civilian,nasa- 8,1978,1,5,msp,1985,sts-51-g,sts-51-g,sts-51-g,sts-51-g,169,5353,0,0,0
364,171,100,"lucid, shannon w.","lucid, shannon w.",female,1943,u.s.,civilian,nasa- 8,1978,2,5,msp,1989,sts-34,sts-34,sts-34,sts-34,119,5353,0,0,0
365,171,100,"lucid, shannon w.","lucid, shannon w.",female,1943,u.s.,civilian,nasa- 8,1978,3,5,msp,1991,sts-43,sts-43,sts-43,sts-43,213,5353,0,0,0
366,171,100,"lucid, shannon w.","lucid, shannon w.",female,1943,u.s.,civilian,nasa- 8,1978,4,5,msp,1993,sts-58,sts-58,sts-58,sts-58,336,5353,0,0,0
367,171,100,"lucid, shannon w.","lucid, shannon w.",female,1943,u.s.,civilian,nasa- 8,1978,5,5,msp,1996,22,sts-79,mir,sts-76,4516,5353,0,0,0
368,172,2,"baudry, patrick","baudry, patrick",male,1946,france,military,cnes-1,1980,1,1,psp,1985,sts-51g,sts-51g,sts-51g,sts-51g,169.63,169.63,0,0,0
369,173,1,"al-saud, sultan bin salman",Unknown,male,1956,saudi arabia,civilian,saudi-arabia,1985,1,1,psp,1985,sts-51g,sts-51g,sts-51g,sts-51g,170,170,0,0,0
370,174,101,"bridges, roy d., jr.","bridges, roy d., jr.",male,1943,u.s.,military,nasa- 9,1980,1,1,pilot,1985,sts-51-f,sts-51-f,sts-51-f,sts-51-f,190,190,0,0,0
371,175,102,"henize, karl g.","henize, karl g.",male,1926,u.s.,civilian,nasa- 6,1967,1,1,msp,1985,sts-51-f,sts-51-f,sts-51-f,sts-51-f,190,190.75,0,0,0
372,176,103,"england, anthony w.","england, anthony w.",male,1942,u.s.,civilian,nasa- 6,1967,1,1,msp,1985,sts-51-f,sts-51-f,sts-51-f,sts-51-f,190,190,0,0,0
373,177,104,"acton, loren wilbur","acton, loren wilbur",male,1936,u.s.,civilian,ps for spacelab-2,1978,1,1,psp,1978,spacelab-2,sts-51-f,sts-51-f,sts-51-f,190.94,190.94,0,0,0
374,178,105,"bartoe, john-david francis","bartoe, john-david francis",male,1944,u.s.,civilian,ps for spacelab-2,1978,1,1,psp,1978,sts-51-f,sts-51-f,sts-51-f,sts-51-f,190.94,190.94,0,0,0
375,179,106,"covey, richard o.","covey, richard o.",male,1946,u.s.,military,nasa- 8,1978,1,4,pilot,1985,sts-51-i,sts-51-i,sts-51-i,sts-51-i,170,645,0,0,0
376,179,106,"covey, richard o.","covey, richard o.",male,1946,u.s.,military,nasa- 8,1978,2,4,pilot,1988,sts-26,sts-26,sts-26,sts-26,97,645,0,0,0
377,179,106,"covey, richard o.","covey, richard o.",male,1946,u.s.,military,nasa- 8,1978,3,4,commander,1990,sts-38,sts-38,sts-38,sts-38,118,645,0,0,0
378,179,106,"covey, richard o.","covey, richard o.",male,1946,u.s.,military,nasa- 8,1978,4,4,commander,1993,sts-61,sts-61,sts-61,sts-61,260,645,0,0,0
379,180,107,"lounge, john m.","lounge, john m.",male,1946,u.s.,civilian,nasa- 9,1980,1,3,msp,1985,sts-51-i,sts-51-i,sts-51-i,sts-51-i,170,482,0,0,0
380,180,107,"lounge, john m.","lounge, john m.",male,1946,u.s.,civilian,nasa- 9,1980,2,3,msp,1988,sts-26,sts-26,sts-26,sts-26,97,482,0,0,0
381,180,107,"lounge, john m.","lounge, john m.",male,1946,u.s.,civilian,nasa- 9,1980,3,3,msp,1990,sts-35,sts-35,sts-35,sts-35,215,482,0,0,0
382,181,108,"fisher, william f.","fisher, william f.",male,1946,u.s.,civilian,nasa- 9,1980,1,1,msp,1985,sts-51-i,sts-51-i,sts-51-i,sts-51-i,170,170,2,11.76,11.76
383,182,59,"vasyutin, vladimir",владимир владимирович васютин,male,1952,u.s.s.r/russia,military,tspk-6,1976,1,1,commander,1985,salyut 7,soyuz t­14,salyut 7,soyuz t­14,1557,1557.87,0,0,0
384,183,60,"volkov, alexander",александр александрович волков,male,1948,u.s.s.r/russia,military,tspk-6,1976,1,3,msp,1985,salyut 7,soyuz t­14,salyut 7,soyuz t­14,1557,9395.87,0,0,10.2
385,183,60,"volkov, alexander",александр александрович волков,male,1948,u.s.s.r/russia,military,tspk-6,1976,2,3,msp,1989,4,soyuz tm­7,mir,soyuz tm­7,3635,9395.87,1,6,10.2
386,183,60,"volkov, alexander",александр александрович волков,male,1948,u.s.s.r/russia,military,tspk-6,1976,3,3,msp,1992,10,soyuz tm­13,mir,soyuz tm­13,4202,9395.87,1,4.2,10.2
387,184,109,"grabe, ronald j.","grabe, ronald j.",male,1945,u.s.,military,nasa astronaut group 9,1980,1,4,pilot,1985,sts-51-j,sts-51-j,sts-51-j,sts-51-j,97.73,626.73,0,0,0
388,184,109,"grabe, ronald j.","grabe, ronald j.",male,1945,u.s.,military,nasa astronaut group 10,1980,2,4,pilot,1989,sts-30,sts-30,sts-30,sts-30,97,626.73,0,0,0
389,184,109,"grabe, ronald j.","grabe, ronald j.",male,1945,u.s.,military,nasa astronaut group 11,1980,3,4,commander,1992,sts-42,sts-42,sts-42,sts-42,193,626.73,0,0,0
390,184,109,"grabe, ronald j.","grabe, ronald j.",male,1945,u.s.,military,nasa astronaut group 12,1980,4,4,commander,1993,sts-57,sts-57,sts-57,sts-57,239,626.73,0,0,0
391,185,110,"hilmers, david c.","hilmers, david c.",male,1950,u.s.,military,nasa- 9,1980,1,4,msp,1985,sts-51-j,sts-51-j,sts-51-j,sts-51-j,97,493,0,0,0
392,185,110,"hilmers, david c.","hilmers, david c.",male,1950,u.s.,military,nasa- 10,1980,2,4,msp,1988,sts-26,sts-26,sts-26,sts-26,97,493,0,0,0
393,185,110,"hilmers, david c.","hilmers, david c.",male,1950,u.s.,military,nasa- 11,1980,3,4,msp,1990,sts-36,sts-36,sts-36,sts-36,106,493,0,0,0
394,185,110,"hilmers, david c.","hilmers, david c.",male,1950,u.s.,military,nasa- 12,1980,4,4,msp,1992,sts-42,sts-42,sts-42,sts-42,193,493,0,0,0
395,186,111,"pailes, william arthur","pailes, william arthur",male,1936,u.s.,military,usaf group,1982,1,1,psp,1985,sts-51-j,sts-51-j,sts-51-j,sts-51-j,98.11,98.11,0,0,0
396,187,112,"dunbar, bonnie j.","dunbar, bonnie j.",female,1949,u.s.,civilian,nasa- 9,1980,1,5,msp,1985,sts-61-a,sts-61-a,sts-61-a,sts-61-a,168,1208,0,0,0
397,187,112,"dunbar, bonnie j.","dunbar, bonnie j.",female,1949,u.s.,civilian,nasa- 9,1980,2,5,msp,1990,sts-32,sts-32,sts-32,sts-32,261,1208,0,0,0
398,187,112,"dunbar, bonnie j.","dunbar, bonnie j.",female,1949,u.s.,civilian,nasa- 9,1980,3,5,msp,1992,sts-50,sts-50,sts-50,sts-50,331,1208,0,0,0
399,187,112,"dunbar, bonnie j.","dunbar, bonnie j.",female,1949,u.s.,civilian,nasa- 9,1980,4,5,msp,1995,sts-71,sts-71,sts-71,sts-71,235,1208,0,0,0
400,187,112,"dunbar, bonnie j.","dunbar, bonnie j.",female,1949,u.s.,civilian,nasa- 9,1980,5,5,msp,1998,sts-89,sts-89,sts-89,sts-89,211,1208,0,0,0
401,188,2,"furrer, reinhard alfred","furrer, reinhard alfred",male,1940,germany,civilian,dlr-1,1982,1,1,psp,1985,sts-61a,sts-61a,sts-61a,sts-61a,168.73,168.73,0,0,0
402,189,3,"messerschmid, ernst willi","messerschmid, ernst willi",male,1945,germany,military,dlr-1,1982,1,1,psp,1985,sts-61a,sts-61a,sts-61a,sts-61a,168.73,168.73,0,0,0
403,190,1,"ockels, wubbo johannes","ockels, wubbo johannes",male,1946,netherland,civilian,1978 esa group,1978,1,1,psp,1985,sts-61-a,sts-61-a,sts-61-a,sts-61-a,168.73,168.73,0,0,0
404,191,113,"o'connor, bryan d.","o'connor, bryan d.",male,1946,u.s.,military,nasa-9,1980,1,2,pilot,1985,sts-61b atlantis,sts-61b atlantis,sts-61b atlantis,sts-61b atlantis,165,386,0,0,0
405,191,113,"o'connor, bryan d.","o'connor, bryan d.",male,1946,u.s.,military,nasa-9,1980,2,2,commander,1991,sts-40 columbia,sts-40 columbia,sts-40 columbia,sts-40 columbia,218,386,0,0,0
406,192,114,"ross, jerry l.","ross, jerry l.",male,1948,u.s.,military,nasa-9,1980,1,7,msp,1985,sts-61,sts-61,sts-61,sts-61,165,1393,2,12.2,58.53
407,192,114,"ross, jerry l.","ross, jerry l.",male,1948,u.s.,military,nasa-9,1980,2,7,msp,1988,sts-27,sts-27,sts-27,sts-27,105,1393,0,0,58.53
408,192,114,"ross, jerry l.","ross, jerry l.",male,1948,u.s.,military,nasa-9,1980,3,7,msp,1991,sts-37,sts-37,sts-37,sts-37,143,1393,2,10.58,58.53
409,192,114,"ross, jerry l.","ross, jerry l.",male,1948,u.s.,military,nasa-9,1980,4,7,msp,1993,sts-55,sts-55,sts-55,sts-55,239,1393,0,0,58.53
410,192,114,"ross, jerry l.","ross, jerry l.",male,1948,u.s.,military,nasa-9,1980,5,7,msp,1995,sts-74,sts-74,sts-74,sts-74,129,1393,1,7.24999999999999,58.53
411,192,114,"ross, jerry l.","ross, jerry l.",male,1948,u.s.,military,nasa-9,1980,6,7,msp,1998,sts-88,sts-88,sts-88,sts-88,283,1393,2,14.38,58.53
412,192,114,"ross, jerry l.","ross, jerry l.",male,1948,u.s.,military,nasa-9,1980,7,7,msp,2002,sts-110,sts-110,sts-110,sts-110,259,1393,2,14.12,58.53
413,193,115,"cleave, mary l.","cleave, mary l.",female,1947,u.s.,civilian,nasa- 9,1980,1,2,msp,1985,sts-30,sts-30,sts-30,sts-30,97,262,0,0,0
414,193,115,"cleave, mary l.","cleave, mary l.",female,1947,u.s.,civilian,nasa- 9,1980,2,2,msp,1989,sts-61-b,sts-61-b,sts-61-b,sts-61-b,165,262,0,0,0
415,194,116,"spring, sherwood c.","spring, sherwood c.",male,1944,u.s.,military,1980 nasa group,1980,1,1,msp,1985,sts-61-b,sts-61-b,sts-61-b,sts-61-b,165,165,2,12.17,12.17
416,195,1,"neri vela, rodolfl",Unknown,male,1952,mexico,civilian,1985 nasa group,1985,1,1,psp,1985,sts-61-b,sts-61-b,sts-61-b,sts-61-b,165.07,165.67,0,0,0
417,196,117,"bolden, charles f., jr.","bolden, charles f., jr.",male,1946,u.s.,military,nasa- 9,1980,1,4,pilot,1986,sts-61-c,sts-61-c,sts-61-c,sts-61-c,74,680,0,0,0
418,196,117,"bolden, charles f., jr.","bolden, charles f., jr.",male,1946,u.s.,military,nasa- 9,1980,2,4,pilot,1990,sts-31,sts-31,sts-31,sts-31,121,680,0,0,0
419,196,117,"bolden, charles f., jr.","bolden, charles f., jr.",male,1946,u.s.,military,nasa- 9,1980,3,4,commander,1992,sts-45,sts-45,sts-45,sts-45,214,680,0,0,0
420,196,117,"bolden, charles f., jr.","bolden, charles f., jr.",male,1946,u.s.,military,nasa- 9,1980,4,4,commander,1994,sts-60,sts-60,sts-60,sts-60,199,680,0,0,0
421,197,118,"chang-diaz, franklin r.","chang-diaz, franklin r.",male,1950,u.s.,civilian,nasa- 9,1980,1,7,msp,1986,sts-61-c,sts-61-c,sts-61-c,sts-61-c,146,1601,0,0,19.52
422,197,118,"chang-diaz, franklin r.","chang-diaz, franklin r.",male,1950,u.s.,civilian,nasa- 9,1980,2,7,msp,1989,sts-34,sts-34,sts-34,sts-34,120,1601,0,0,19.52
423,197,118,"chang-diaz, franklin r.","chang-diaz, franklin r.",male,1950,u.s.,civilian,nasa- 9,1980,3,7,msp,1992,sts-46,sts-46,sts-46,sts-46,191,1601,0,0,19.52
424,197,118,"chang-diaz, franklin r.","chang-diaz, franklin r.",male,1950,u.s.,civilian,nasa- 9,1980,4,7,msp,1994,sts-60,sts-60,sts-60,sts-60,199,1601,0,0,19.52
425,197,118,"chang-diaz, franklin r.","chang-diaz, franklin r.",male,1950,u.s.,civilian,nasa- 9,1980,5,7,msp,1996,sts-75,sts-75,sts-75,sts-75,377,1601,0,0,19.52
426,197,118,"chang-diaz, franklin r.","chang-diaz, franklin r.",male,1950,u.s.,civilian,nasa- 9,1980,6,7,msp,1998,sts-91,sts-91,sts-91,sts-91,236,1601,0,0,19.52
427,197,118,"chang-diaz, franklin r.","chang-diaz, franklin r.",male,1950,u.s.,civilian,nasa- 9,1980,7,7,msp,2002,sts-111,sts-111,sts-111,sts-111,333,1601,3,19.52,19.52
428,198,119,"cenker, robert joseph","cenker, robert joseph",male,1948,u.s.,civilian,ps by rca,1985,1,1,psp,1986,sts-61c,sts-61c,sts-61c,sts-61c,146.42,146.42,0,0,0
429,199,120,"nelson, william clarence","nelson, william clarence",male,1942,u.s.,civilian,congress observer,1984,1,1,psp,1986,sts-61c,sts-61c,sts-61c,sts-61c,6.03,6.03,0,0,0
430,200,121,"smith, michael john","smith, michael john",male,1945,u.s.,military,1980 nasa group 9,1980,1,1,pilot,1986,sts-51l,sts-51l,explosion,explosion,0.61,0.61,0,0,0
431,201,122,"jarvis, gregory bruce","jarvis, gregory bruce",male,1944,u.s.,civilian,ps by sal,1984,1,1,psp,1986,sts-51l,sts-51l,explosion,explosion,0.61,0.61,0,0,0
432,202,123,"mcauliffe, sharon christa corrigan","mcauliffe, sharon christa corrigan",female,1948,u.s.,civilian,1985 teacher in space,1985,1,1,psp,1986,sts-51l,sts-51l,explosion,explosion,0.61,0.61,0,0,0
433,203,61,"laveykin, aleksandr",александр иванович лавейкин,male,1951,u.s.s.r/russia,civilian,npoe-4,1978,1,1,flight engineer,1987,2,soyuz tm­2,mir,soyuz tm­2,4179,4179.42,3,8.8,8.8
434,204,62,"viktorenko, aleksandr",александр степанович викторенко,male,1947,u.s.s.r/russia,military,tspk-7,1978,1,4,commander,1987,1,soyuz tm­3,mir ep,soyuz tm­2,191,11737.55,0,0,19.65
435,204,62,"viktorenko, aleksandr",александр степанович викторенко,male,1947,u.s.s.r/russia,military,tspk-7,1978,2,4,commander,1990,5,soyuz tm­8,mir,soyuz tm­8,3990,11737.55,5,17.6,19.65
436,204,62,"viktorenko, aleksandr",александр степанович викторенко,male,1947,u.s.s.r/russia,military,tspk-7,1978,3,4,commander,1992,11,soyuz tm­14,mir,soyuz tm­14,3494,11737.55,1,2.05,19.65
437,204,62,"viktorenko, aleksandr",александр степанович викторенко,male,1947,u.s.s.r/russia,military,tspk-7,1978,4,4,commander,1994,17,soyuz tm­20,mir,soyuz tm­20,4061,11737.55,0,0,19.65
438,205,1,"faris, m. achmed",Unknown,male,1951,syria,military,syria,1985,1,1,msp,1987,1,soyuz tm-3,mir ep,soyuz tm-2,191,191,0,0,0
439,206,63,"manarov, musa",муса хираманович манаров,male,1951,u.s.s.r/russia,military,npoe-4,1978,1,2,flight engineer,1987,3,soyuz tm­4,mir,soyuz tm­6,8782,12984.47,3,13.78,34.38
440,206,63,"manarov, musa",муса хираманович манаров,male,1951,u.s.s.r/russia,military,npoe-4,1978,2,2,flight engineer,1990,8,soyuz tm­11,mir,soyuz tm­11,4201,12984.47,4,20.75,34.38
441,207,64,"levchenko, anatoli",левченко анатолий семёнович,male,1941,u.s.s.r/russia,military,lii-1,1977,1,1,msp,1987,soyuz tm­4/3,soyuz tm­4,soyuz tm­4,soyuz tm­3,189,189.97,0,0,0
442,208,65,"solovyev, anatoly",анатолий яковлевич соловьёв,male,1948,u.s.s.r/russia,military,tspk-6,1976,1,5,commander,1988,2,soyuz tm­5,mir ep,soyuz tm­4,236,15624.03,0,0,78.8
443,208,65,"solovyev, anatoly",анатолий яковлевич соловьёв,male,1948,u.s.s.r/russia,military,tspk-6,1976,2,5,commander,1990,6,soyuz tm­9,mir,soyuz tm­9,4297,15624.03,2,10.78,78.8
